name,unit,toM,text
span,,1.1811024,"The span is a unit of length equal to approximately 0.3 meters, based on the width of a human hand with fingers extended. It was used in traditional measurements and construction. The span's historical use provides insight into early measurement practices and human-scale dimensions."
hand,,8.6614173,"The hand is a unit of length equal to 0.1016 meters, historically based on the width of a human hand. It is primarily used in measuring the height of horses. The hand's historical and practical applications highlight its role in specific fields, such as equestrian measurement."
thumb,,3.9370079,"The thumb is a unit of length based on the width of a human thumb, approximately 0.0254 meters. It was used in historical measurement systems. The thumb's role in measurements reflects its practical application in traditional and historical contexts."
girth,,3.9370079,"The girth is a unit of length based on the circumference of an object, typically used in clothing and construction measurements. It is approximately equal to 0.1 meters. The girth's application in various fields highlights its importance in measuring the dimensions and size of objects."
angstrom,Å,1e10,"The angstrom (Å) is a unit of length equal to one ten-billionth of a meter, or 0.1 nanometers. It is commonly used in physics, chemistry, and biology to measure atomic-scale distances, such as bond lengths in molecules and wavelengths of light. The angstrom provides a convenient scale for describing phenomena at the atomic and molecular levels."
fathom,,5.46806649e-1,"The fathom is a unit of length primarily used in nautical contexts to measure the depth of water. It is equal to 1.8288 meters. The fathom has been used by sailors for centuries to measure depth and ensure safe navigation in marine environments. Despite modern advancements, the fathom remains in use for traditional and practical purposes."
picometer,pm,1e12,"The picometer (pm) is a unit of length equal to one trillionth of a meter, or 1e-12 meters. It is used in scientific fields such as physics and chemistry to measure extremely small distances, including atomic radii and the spacing between atoms in a crystal lattice. The picometer's precision is essential for studying the minutiae of matter at the subatomic scale."
ell,,8.64005445e-1,"The ell is a historical unit of length used in Europe, primarily for measuring cloth. Its length varied between regions but was typically around 45 inches (1.14 meters). The ell was used from medieval times until the early modern period. Although now obsolete, it provides insight into historical measurement systems and trade practices."
smoot,,5.87e-1,"The smoot is a nonstandard, humorous unit of length created as part of an MIT fraternity prank in 1958. It is equal to 1.7018 meters, based on the height of Oliver R. Smoot. While not officially recognized, the smoot is marked along the Harvard Bridge in Boston and is used as a local measure for fun and tradition."
pica,,2.83464567e-3,"The pica is a unit of length used in typography and printing, equal to 1/6th of an inch or approximately 4.233 millimeters. It is used to measure font sizes, line lengths, and spacing in printed materials. The pica remains an important unit in the field of graphic design and publishing."
twip,,1.76389e-4,"The twip (twentieth of a point) is a unit of length used in typography and digital design, equal to 1/1440th of an inch or approximately 17.638 micrometers. It is used in software applications to ensure precise alignment and spacing in digital layouts. The twip's fine granularity is useful for detailed typographic and design work."
perch,,5.0292,"The perch, also known as a rod or pole, is a historical unit of length used in land measurement, equal to 5.0292 meters. It was commonly used in surveying and agriculture to measure plots of land. The perch's use dates back to ancient times, and it remains a part of the lexicon in some regions and contexts."
diraa,,5.29e-1,"The diraa is an ancient unit of length used in Egypt, Mesopotamia, and other Middle Eastern cultures, equal to approximately 0.529 meters. It was based on the length of the forearm and was used in construction and land measurement. The diraa provides a glimpse into historical methods of measurement and standardization in early civilizations."
li,,2.0e-1,"The li is a traditional Chinese unit of length, equal to 500 meters. It was historically used to measure distances between towns and villages. The li remains in use in some contexts in China, providing a cultural link to the country's historical systems of measurement."
stadion,,1.8e2,"The stadion, or stadium, is an ancient Greek unit of length, typically equal to 600 feet or approximately 180 meters. It was used to measure distances in athletic competitions and in land measurement. The stadion was the standard length for racecourses in ancient Greece and is the origin of the modern term 'stadium'."
toise,,1.949,"The toise is a historical French unit of length, equal to 1.949 meters. It was commonly used before the adoption of the metric system in France, particularly in construction and land measurement. The toise has since been replaced by the meter but remains a part of France's measurement history."
pechus,,5.23e-1,"The pechus is an ancient Egyptian unit of length, also known as the 'cubit,' roughly equal to 0.523 meters. It was used to measure distances and dimensions in construction, especially in the building of pyramids and temples. The pechus was an important standard in ancient Egyptian society."
